2024-11-03 22:52:53,469 | app_logger | INFO | Связь с базой данных установлена.
2024-11-03 22:52:53,470 | app_logger | WARNING | Ошибка при подключении к базе данных: 'q'
2024-11-03 22:52:53,470 | app_logger | INFO | Запуск программы...
2024-11-03 22:52:53,470 | app_logger | INFO | Загрузка страницы http://quotes.toscrape.com
2024-11-03 22:52:54,191 | app_logger | INFO | Страница успешно загружена!
2024-11-03 22:52:54,191 | app_logger | INFO | Начало записи в базу данных со страницы http://quotes.toscrape.com
2024-11-03 22:52:54,191 | app_logger | INFO | Начало сбора данных со страницы http://quotes.toscrape.com
2024-11-03 22:52:54,767 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:52:54,769 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:55,342 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/J-K-Rowling
2024-11-03 22:52:55,344 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:55,922 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:52:55,924 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:56,498 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Jane-Austen
2024-11-03 22:52:56,499 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:57,052 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Marilyn-Monroe
2024-11-03 22:52:57,055 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:57,673 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Albert-Einstein
2024-11-03 22:52:57,675 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:58,288 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Andre-Gide
2024-11-03 22:52:58,293 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:58,869 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Thomas-A-Edison
2024-11-03 22:52:58,870 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:52:59,518 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Eleanor-Roosevelt
2024-11-03 22:52:59,521 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:00,130 | app_logger | INFO | Начало сбора данных со страницы автора: http://quotes.toscrape.com/author/Steve-Martin
2024-11-03 22:53:00,132 | app_logger | INFO | Данные автора успешно собраны.
2024-11-03 22:53:00,144 | app_logger | INFO | Запись прошла успешно!
2024-11-03 22:53:00,144 | app_logger | INFO | Переход на следующую страницу: http://quotes.toscrape.com/page/2/
